ID,IP,First Name,Last Name,Username,Email,Department,Phone Number,Location
1,191.214.233.1,Jonathan,Jamison,jonathan1,jonathan.jamison@corp.mail.ca,Project Management,6133944445,EM1
2,191.214.233.2,Richard,Carroll,richard2,richard.carroll@corp.mail.ca,Information Technology,6133946932,EM2
3,191.214.233.3,Zella,Hinton,zella3,zella.hinton@corp.mail.ca,Project Management,6133942288,EM3
4,191.214.233.4,David,Sandoval,david4,david.sandoval@corp.mail.ca,Customer Service,6133944393,EM4
5,191.214.233.5,Anita,White,anita5,anita.white@corp.mail.ca,Research,6133940580,EM5
6,191.214.233.6,Dale,Hoskins,dale6,dale.hoskins@corp.mail.ca,Management,6133941130,EM6
7,191.214.233.7,Michelle,Matsuno,michelle7,michelle.matsuno@corp.mail.ca,Customer Service,6133944228,EM7
8,191.214.233.8,Daniel,Stelmack,daniel8,daniel.stelmack@corp.mail.ca,Human Resources,6133947758,EM8
9,191.214.233.9,Lori,Rosenblum,lori9,lori.rosenblum@corp.mail.ca,Business,6133942087,EM9
10,191.214.233.10,Sheryl,Crowe,sheryl10,sheryl.crowe@corp.mail.ca,Customer Service,6133945182,EM10
11,191.214.233.11,Eddie,Mullen,eddie11,eddie.mullen@corp.mail.ca,Marketing,6133949700,EM11
12,191.214.233.12,Frank,Johnson,frank12,frank.johnson@corp.mail.ca,Management,6133945510,EM12
13,191.214.233.13,Harold,Mavai,harold13,harold.mavai@corp.mail.ca,Customer Service,6133940340,EM13
14,191.214.233.14,Victor,Rose,victor14,victor.rose@corp.mail.ca,Business,6133945199,EM14
15,191.214.233.15,Benjamin,Herbert,benjamin15,benjamin.herbert@corp.mail.ca,Marketing,6133944303,EM15
16,191.214.233.16,Geraldine,Mcbride,geraldine16,geraldine.mcbride@corp.mail.ca,Production,6133944269,EM16
17,191.214.233.17,Mary,Evans,mary17,mary.evans@corp.mail.ca,Production,6133948690,EM17
18,191.214.233.18,Vanessa,Horton,vanessa18,vanessa.horton@corp.mail.ca,Production,6133949338,EM18
19,191.214.233.19,Susan,Echols,susan19,susan.echols@corp.mail.ca,Marketing,6133940685,EM19
20,191.214.233.20,Vera,Martin,vera20,vera.martin@corp.mail.ca,Business,6133945067,EM20
21,191.214.233.21,Dwayne,Joeckel,dwayne21,dwayne.joeckel@corp.mail.ca,Business,6133947843,EM21
22,191.214.233.22,Bobbie,Dunham,bobbie22,bobbie.dunham@corp.mail.ca,Production,6133946680,EM22
23,191.214.233.23,Ann,Jones,ann23,ann.jones@corp.mail.ca,Research,6133945866,EM23
24,191.214.233.24,John,Duvall,john24,john.duvall@corp.mail.ca,Management,6133945786,EM24
25,191.214.233.25,Carole,Perez,carole25,carole.perez@corp.mail.ca,Accounting/Finance,6133945835,EM25
26,191.214.233.26,Tracy,Hamlin,tracy26,tracy.hamlin@corp.mail.ca,Business,6133943923,EM26
27,191.214.233.27,Darrell,Bizzell,darrell27,darrell.bizzell@corp.mail.ca,Management,6133941393,EM27
28,191.214.233.28,George,Edgar,george28,george.edgar@corp.mail.ca,Customer Service,6133942949,EM28
29,191.214.233.29,Charlie,Santos,charlie29,charlie.santos@corp.mail.ca,Research,6133946269,EM29
30,191.214.233.30,Ricardo,Hicks,ricardo30,ricardo.hicks@corp.mail.ca,Management,6133949408,EM30
31,191.214.233.31,Carolyn,Dotson,carolyn31,carolyn.dotson@corp.mail.ca,Accounting/Finance,6133948589,EM31
32,191.214.233.32,Larry,Downs,larry32,larry.downs@corp.mail.ca,Research,6133941332,EM32
33,191.214.233.33,Derek,Dombrowski,derek33,derek.dombrowski@corp.mail.ca,Business,6133941464,EM33
34,191.214.233.34,Elizabeth,Wilkins,elizabeth34,elizabeth.wilkins@corp.mail.ca,Marketing,6133941571,EM34
35,191.214.233.35,Margaret,Howard,margaret35,margaret.howard@corp.mail.ca,Customer Service,6133946339,EM35
36,191.214.233.36,Dennis,Gray,dennis36,dennis.gray@corp.mail.ca,Marketing,6133942751,EM36
37,191.214.233.37,Keith,Bellamy,keith37,keith.bellamy@corp.mail.ca,Marketing,6133945707,EM37
38,191.214.233.38,Carol,Alli,carol38,carol.alli@corp.mail.ca,Project Management,6133944444,EM38
